genes,num_genes,mse
"fcrl6,osbp2,bambi,fyn",4,7.848270605064815
"fcrl6,osbp2,bambi,tmt1a",4,7.823317456676258
"fcrl6,osbp2,bambi,aifm2",4,7.8510454266738385
"fcrl6,osbp2,bambi,mstn",4,7.85206146780934
"fcrl6,osbp2,bambi,sfmbt1",4,7.8723524095011275
"fcrl6,osbp2,bambi,pfn2",4,7.872921611708976
"fcrl6,osbp2,lrrc37a2,fyn",4,7.897041172027981
"fcrl6,osbp2,lrrc37a2,tmt1a",4,7.83860866841432
"fcrl6,osbp2,lrrc37a2,aifm2",4,7.835801059131914
"fcrl6,osbp2,lrrc37a2,mstn",4,7.7774864179883885
"fcrl6,osbp2,lrrc37a2,sfmbt1",4,7.887417949570001
"fcrl6,osbp2,lrrc37a2,pfn2",4,7.879422977863111
"fcrl6,osbp2,fyn,tmt1a",4,7.834880930734496
"fcrl6,osbp2,fyn,aifm2",4,7.868563633700929
"fcrl6,osbp2,fyn,mstn",4,7.782782280041656
"fcrl6,osbp2,fyn,sfmbt1",4,7.924121483447964
"fcrl6,osbp2,fyn,pfn2",4,7.876994963221973
"fcrl6,osbp2,tmt1a,aifm2",4,7.858056102448471
"fcrl6,osbp2,tmt1a,mstn",4,7.827082018875932
"fcrl6,osbp2,tmt1a,sfmbt1",4,7.9195026514847795
"fcrl6,osbp2,tmt1a,pfn2",4,7.9253328053075105
"fcrl6,osbp2,aifm2,mstn",4,7.887370306093966
"fcrl6,osbp2,aifm2,sfmbt1",4,7.89649143254873
"fcrl6,osbp2,aifm2,pfn2",4,7.932486904207079
"fcrl6,osbp2,mstn,sfmbt1",4,7.816430784689321
"fcrl6,osbp2,mstn,pfn2",4,7.915585943566336
"fcrl6,osbp2,sfmbt1,pfn2",4,7.939229261389362
"fcrl6,bambi,lrrc37a2,fyn",4,7.8798966169122675
"fcrl6,bambi,lrrc37a2,tmt1a",4,7.78900809827005
"fcrl6,bambi,lrrc37a2,aifm2",4,7.803134804767954
"fcrl6,bambi,lrrc37a2,mstn",4,7.821089522873865
"fcrl6,bambi,lrrc37a2,sfmbt1",4,7.819551289249301
"fcrl6,bambi,lrrc37a2,pfn2",4,7.857671061628387
"fcrl6,bambi,fyn,tmt1a",4,7.801612795379568
"fcrl6,bambi,fyn,aifm2",4,7.851290160169229
"fcrl6,bambi,fyn,mstn",4,7.851360856777887
"fcrl6,bambi,fyn,sfmbt1",4,7.926054136784132
"fcrl6,bambi,fyn,pfn2",4,7.868751104841447
"fcrl6,bambi,tmt1a,aifm2",4,7.803303523576273
"fcrl6,bambi,tmt1a,mstn",4,7.842179238705838
"fcrl6,bambi,tmt1a,sfmbt1",4,7.830196056820187
"fcrl6,bambi,tmt1a,pfn2",4,7.886782404089717
"fcrl6,bambi,aifm2,mstn",4,7.89845020073843
"fcrl6,bambi,aifm2,sfmbt1",4,7.8263373411327875
"fcrl6,bambi,aifm2,pfn2",4,7.901682223915817
"fcrl6,bambi,mstn,sfmbt1",4,7.826625419288944
"fcrl6,bambi,mstn,pfn2",4,7.952453406380978
"fcrl6,bambi,sfmbt1,pfn2",4,7.879594149806382
"fcrl6,lrrc37a2,fyn,tmt1a",4,7.897518641735539
"fcrl6,lrrc37a2,fyn,aifm2",4,7.925276293628413
"fcrl6,lrrc37a2,fyn,mstn",4,7.838802584486591
"fcrl6,lrrc37a2,fyn,sfmbt1",4,8.014838191909838
"fcrl6,lrrc37a2,fyn,pfn2",4,7.937775826448571
"fcrl6,lrrc37a2,tmt1a,aifm2",4,7.843394273648256
"fcrl6,lrrc37a2,tmt1a,mstn",4,7.816212212946459
"fcrl6,lrrc37a2,tmt1a,sfmbt1",4,7.8846086740870875
"fcrl6,lrrc37a2,tmt1a,pfn2",4,7.930911523127249
"fcrl6,lrrc37a2,aifm2,mstn",4,7.843091364417415
"fcrl6,lrrc37a2,aifm2,sfmbt1",4,7.868453031930144
"fcrl6,lrrc37a2,aifm2,pfn2",4,7.919464013039482
"fcrl6,lrrc37a2,mstn,sfmbt1",4,7.785087696709593
"fcrl6,lrrc37a2,mstn,pfn2",4,7.904408786240684
"fcrl6,lrrc37a2,sfmbt1,pfn2",4,7.914374116050787
"fcrl6,fyn,tmt1a,aifm2",4,7.870038534852486
"fcrl6,fyn,tmt1a,mstn",4,7.821819537910215
"fcrl6,fyn,tmt1a,sfmbt1",4,7.982813709421901
"fcrl6,fyn,tmt1a,pfn2",4,7.933062313981959
"fcrl6,fyn,aifm2,mstn",4,7.860960713546303
"fcrl6,fyn,aifm2,sfmbt1",4,7.970676282556276
"fcrl6,fyn,aifm2,pfn2",4,7.954858016705466
"fcrl6,fyn,mstn,sfmbt1",4,7.884452792707639
"fcrl6,fyn,mstn,pfn2",4,7.8735663159773575
"fcrl6,fyn,sfmbt1,pfn2",4,7.998572147066117
"fcrl6,tmt1a,aifm2,mstn",4,7.894306279552243
"fcrl6,tmt1a,aifm2,sfmbt1",4,7.871740275119063
"fcrl6,tmt1a,aifm2,pfn2",4,7.97306187482133
