genes,num_genes,mse
"mstn,tmt1a,sfmbt1,lrrc37a2",4,7.863809221229329
"mstn,tmt1a,sfmbt1,osbp2",4,7.914224424149393
"mstn,tmt1a,fcrl6,aifm2",4,7.894306279552244
"mstn,tmt1a,fcrl6,pfn2",4,7.968033895594278
"mstn,tmt1a,fcrl6,fyn",4,7.821819537910215
"mstn,tmt1a,fcrl6,lrrc37a2",4,7.816212212946459
"mstn,tmt1a,fcrl6,osbp2",4,7.827082018875932
"mstn,tmt1a,aifm2,pfn2",4,8.027161078086356
"mstn,tmt1a,aifm2,fyn",4,7.875444879700726
"mstn,tmt1a,aifm2,lrrc37a2",4,7.910829484226504
"mstn,tmt1a,aifm2,osbp2",4,7.963364303750154
"mstn,tmt1a,pfn2,fyn",4,7.911896481037583
"mstn,tmt1a,pfn2,lrrc37a2",4,7.957651610487741
"mstn,tmt1a,pfn2,osbp2",4,7.97495534443083
"mstn,tmt1a,fyn,lrrc37a2",4,7.858474226971232
"mstn,tmt1a,fyn,osbp2",4,7.8034445207652015
"mstn,tmt1a,lrrc37a2,osbp2",4,7.862959459366429
"mstn,sfmbt1,fcrl6,aifm2",4,7.857098003059468
"mstn,sfmbt1,fcrl6,pfn2",4,7.918949752352667
"mstn,sfmbt1,fcrl6,fyn",4,7.884452792707639
"mstn,sfmbt1,fcrl6,lrrc37a2",4,7.785087696709593
"mstn,sfmbt1,fcrl6,osbp2",4,7.816430784689321
"mstn,sfmbt1,aifm2,pfn2",4,7.936354952791314
"mstn,sfmbt1,aifm2,fyn",4,7.942368202518683
"mstn,sfmbt1,aifm2,lrrc37a2",4,7.86592893629406
"mstn,sfmbt1,aifm2,osbp2",4,7.9344673742694205
"mstn,sfmbt1,pfn2,fyn",4,7.982437015120854
"mstn,sfmbt1,pfn2,lrrc37a2",4,7.903840403173632
"mstn,sfmbt1,pfn2,osbp2",4,7.946415946165878
"mstn,sfmbt1,fyn,lrrc37a2",4,7.9173029451504355
"mstn,sfmbt1,fyn,osbp2",4,7.842619854619843
"mstn,sfmbt1,lrrc37a2,osbp2",4,7.828156705729811
"mstn,fcrl6,aifm2,pfn2",4,7.963925980582804
"mstn,fcrl6,aifm2,fyn",4,7.860960713546303
"mstn,fcrl6,aifm2,lrrc37a2",4,7.843091364417415
"mstn,fcrl6,aifm2,osbp2",4,7.887370306093966
"mstn,fcrl6,pfn2,fyn",4,7.8735663159773575
"mstn,fcrl6,pfn2,lrrc37a2",4,7.904408786240685
"mstn,fcrl6,pfn2,osbp2",4,7.915585943566336
"mstn,fcrl6,fyn,lrrc37a2",4,7.838802584486592
"mstn,fcrl6,fyn,osbp2",4,7.782782280041655
"mstn,fcrl6,lrrc37a2,osbp2",4,7.7774864179883885
"mstn,aifm2,pfn2,fyn",4,7.957188131649754
"mstn,aifm2,pfn2,lrrc37a2",4,7.950403991834977
"mstn,aifm2,pfn2,osbp2",4,8.012361813916273
"mstn,aifm2,fyn,lrrc37a2",4,7.888152311213259
"mstn,aifm2,fyn,osbp2",4,7.866759656520153
"mstn,aifm2,lrrc37a2,osbp2",4,7.898797020075724
