gene,mse
acbd7,8.28206387387737
accs,8.257134284240259
accsl,8.258588858209016
acd,8.277549631726748
ace,8.26135305971459
ace2,8.189220781930935
acer1,8.30099709833231
acer2,8.261048298623548
acer3,8.26491905401471
ache,8.261835167705716
acin1,8.264917423140949
ackr1,8.286955156957228
ackr2,8.262983185024709
ackr3,8.210570631337433
ackr4,8.263244448231637
acly,8.263333178979092
acmsd,8.246649074611796
aco1,8.23738910206212
aco2,8.250814735970385
acod1,8.247622195466217
acot1,8.262386183628367
acot11,8.265272084284616
acot12,8.27023894804866
acot13,8.24075724899365
acot2,8.257551339752416
acot4,8.269259956250613
acot6,8.265436156690354
acot7,8.281953260674443
acot8,8.298015556995333
acot9,8.263030201449336
acox1,8.262912194875376
acox2,8.268030643764352
acox3,8.255259298882741
acoxl,8.261178141936067
acp1,8.250224868427184
acp2,8.256816176228051
acp3,8.264825325411362
acp4,8.266459873005745
acp5,8.27455655148865
acp6,8.253674031872855
acp7,8.262217877500447
acr,8.267548020920923
acrbp,8.268283105293628
acrv1,8.269575061041145
acsbg1,8.285037285333875
acsbg2,8.260928388615062
acsf2,8.26909851748818
acsf3,8.241714243721878
acsl1,8.256982465826663
acsl3,8.244970257296488
acsl4,8.268613572350011
acsl5,8.245924831260906
acsl6,8.21268741638519
acsm1,8.253867682523477
acsm2a,8.275461109367836
acsm2b,8.238843993957229
acsm3,8.253208578467614
acsm4,8.26386031484819
acsm5,8.301838951693892
acsm6,8.227596357189334
acss1,8.26326201691734
acss2,8.204397623090644
acss3,8.24070898243987
acta1,8.266174692294262
acta2,8.259134596004708
actb,8.299975348892906
actbl2,8.25748403781307
actc1,8.275684537266082
actg1,8.254769444591787
actg2,8.255091658734987
actl10,8.261327687153894
actl6a,8.262647964587035
actl6b,8.292933620102842
actl7a,8.25434401401738
actl7b,8.280348791153793
actl8,8.266905894870895
actl9,8.261867249962888
actmap,8.261971136124705
actn1,8.266026899674275
actn2,8.253169851969355
actn3,8.261859569254046
actn4,8.260165295247386
actr10,8.256692813782958
actr1a,8.305942490143954
actr1b,8.264362263202036
actr2,8.262871037877721
actr3,8.258531108572209
actr3b,8.280041253110522
actr3c,8.27810049503634
actr5,8.262244986912016
actr6,8.272556200549191
actr8,8.261902497401252
actrt1,8.265573883289965
actrt2,8.26242504768937
actrt3,8.270402132214308
